,URL
22,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51eef1a58bb63:0xe94e27bc02833462!8m2!3d43.9154661!4d-78.9584774!16s%2Fg%2F1tls3ttb!19sChIJY7tYGu8e1YkRYjSDArwnTuk?authuser=0&hl=en&rclk=1
23,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51cfd916849e5:0x9861616e982e2eaa!8m2!3d43.8905008!4d-78.8791817!16s%2Fg%2F1thl_fbv!19sChIJ5Ulokf0c1YkRqi4umG5hYZg?authuser=0&hl=en&rclk=1
24,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51d2231245e4d:0x18d44ad110975d9!8m2!3d43.8868438!4d-78.8578704!16s%2Fg%2F1v27wh1t!19sChIJTV4kMSId1YkR2XUJEa1EjQE?authuser=0&hl=en&rclk=1
25,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51e62ce4073d3:0x7b2dbaf8def856c7!8m2!3d43.8986268!4d-78.9402652!16s%2Fg%2F1tkkvwb0!19sChIJ03NAzmIe1YkRx1b43vi6LXs?authuser=0&hl=en&rclk=1
26,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51e881080a001:0xefeffa48f786765a!8m2!3d43.9008625!4d-78.9410494!16s%2Fg%2F11gbk412_6!19sChIJAaCAEIge1YkRWnaG90j67-8?authuser=0&hl=en&rclk=1
27,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51db7a44511e9:0x3548a6a37ba78dbf!8m2!3d43.8889277!4d-78.9039749!16s%2Fg%2F1tdqvj9y!19sChIJ6RFFpLcd1YkRv42ne6OmSDU?authuser=0&hl=en&rclk=1
28,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51db70a1fddf9:0x55b9ed632a248809!8m2!3d43.8881525!4d-78.9023733!16s%2Fg%2F1hc1npym6!19sChIJ-d0fCrcd1YkRCYgkKmPtuVU?authuser=0&hl=en&rclk=1
29,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51b9a8b4b0ebb:0xa717253c76ccb56c!8m2!3d43.9449244!4d-78.8934687!16s%2Fg%2F11csry773w!19sChIJuw5Li5ob1YkRbLXMdjwlF6c?authuser=0&hl=en&rclk=1
43,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d5140e6f9d217f:0x77f77fefe286f1da!8m2!3d44.101781!4d-78.938196!16s%2Fg%2F1tqnmmgz!19sChIJfyGdbw4U1YkR2vGG4u9_93c?authuser=0&hl=en&rclk=1
44,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51440d3f27cd7:0xb5fdeda71f60a61b!8m2!3d44.1105529!4d-78.9572373!16s%2Fg%2F1thtf3hx!19sChIJ13zy00AU1YkRG6ZgH6ft_bU?authuser=0&hl=en&rclk=1
45,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d515c2812d293f:0x2d206e35dcf5a6f2!8m2!3d44.1003391!4d-78.9450149!16s%2Fg%2F11j5qv3df7!19sChIJPyktgcIV1YkR8qb13DVuIC0?authuser=0&hl=en&rclk=1
48,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d5a722561e8e93:0x6a59ebe2c161dec4!8m2!3d44.036579!4d-78.6154032!16s%2Fg%2F1wj_703z!19sChIJk44eViKn1YkRxN5hweLrWWo?authuser=0&hl=en&rclk=1
49,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d5a94703b96fa3:0xbd196fed859d51a9!8m2!3d43.9191043!4d-78.5810906!16s%2Fg%2F1tk6432w!19sChIJo2-5A0ep1YkRqVGdhe1vGb0?authuser=0&hl=en&rclk=1
51,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d5aeebb1cace53:0x4f762ebfa3c85a11!8m2!3d43.9212701!4d-78.541013!16s%2Fg%2F1tmcn6t7!19sChIJU87Kseuu1YkREVrIo78udk8?authuser=0&hl=en&rclk=1
52,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d56ce6a5d3318b:0x90e270c177cb34b8!8m2!3d44.181505!4d-78.890353!16s%2Fg%2F11g98vkvct!19sChIJizHTpeZs1YkRuDTLd8Fw4pA?authuser=0&hl=en&rclk=1
54,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d5037258e79b3f:0x6d75e947f8606d71!8m2!3d43.9079882!4d-78.802228!16s%2Fg%2F1td7d40c!19sChIJP5vnWHID1YkRcW1g-EfpdW0?authuser=0&hl=en&rclk=1
55,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d503152ac05a5f:0x6eefd39df91a9d7b!8m2!3d43.906216!4d-78.81234!16s%2Fg%2F1thvz810!19sChIJX1rAKhUD1YkRe50a-Z3T724?authuser=0&hl=en&rclk=1
58,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d5b874efe0f72f:0xe8bdf68602b9769a!8m2!3d43.9422167!4d-78.4313348!16s%2Fg%2F11b5wnj2hk!19sChIJL_fg73S41YkRmna5Aob2veg?authuser=0&hl=en&rclk=1
